Timestamp;GimbalPitchPos;Gyro;GimbalYawPos;Gyro;MotorTransAngle
35507000;-4.435235E+000;1.015896E+001;-1.552740E+002;-1.552001E+002;2.153320E+000
35521000;-6.779576E+000;9.396942E+000;-1.552740E+002;-1.552330E+002;3.955078E-001
35535000;-8.686116E+000;7.750888E+000;-1.552740E+002;-1.552629E+002;-1.582031E+000
35548000;-9.729899E+000;5.954491E+000;-1.552740E+002;-1.553072E+002;-3.120117E+000
35562000;-9.972288E+000;3.172309E+000;-1.552740E+002;-1.553647E+002;-4.438477E+000
35575000;-9.359255E+000;1.401915E+000;-1.552740E+002;-1.554029E+002;-5.361328E+000
35590000;-7.716982E+000;2.349050E-001;-1.552740E+002;-1.554218E+002;-5.800781E+000
35603000;-5.430746E+000;-1.574291E-001;-1.552740E+002;-1.554228E+002;-5.844727E+000
35617000;-2.635320E+000;-1.323943E-001;-1.552740E+002;-1.554255E+002;-5.361328E+000
35631000;0.000000E+000;5.788591E-001;-1.552740E+002;-1.554088E+002;-4.350586E+000
35644000;3.207867E+000;1.488813E+000;-1.552740E+002;-1.553654E+002;-3.032227E+000
35658000;6.274235E+000;2.933502E+000;-1.552740E+002;-1.553481E+002;-1.098633E+000
35671000;8.440548E+000;3.695248E+000;-1.552740E+002;-1.553292E+002;7.470703E-001
35684000;9.652086E+000;4.935082E+000;-1.552740E+002;-1.552900E+002;2.460938E+000
35697000;9.980784E+000;6.696671E+000;-1.552740E+002;-1.552302E+002;3.911133E+000
35710000;9.156463E+000;9.160398E+000;-1.552740E+002;-1.551962E+002;4.965820E+000
35724000;7.383042E+000;1.030847E+001;-1.552740E+002;-1.551726E+002;5.361328E+000
35738000;4.607789E+000;1.092646E+001;-1.552740E+002;-1.551552E+002;5.361328E+000
35752000;1.268500E+000;1.079865E+001;-1.552740E+002;-1.551520E+002;4.702148E+000
35765000;-1.980492E+000;1.020295E+001;-1.552740E+002;-1.551733E+002;3.515625E+000
35778000;-5.020152E+000;8.700886E+000;-1.552740E+002;-1.551955E+002;2.021484E+000
35792000;-7.692122E+000;7.722095E+000;-1.552740E+002;-1.552356E+002;-4.394531E-002
35806000;-9.422503E+000;5.637378E+000;-1.552740E+002;-1.552978E+002;-1.977539E+000
35820000;-9.999483E+000;3.602508E+000;-1.552740E+002;-1.553563E+002;-3.647461E+000
35833000;-9.352431E+000;9.253700E-001;-1.552740E+002;-1.554061E+002;-4.790039E+000
35847000;-7.560555E+000;-2.264231E-002;-1.552740E+002;-1.554315E+002;-5.361328E+000
35861000;-4.843196E+000;-5.693994E-001;-1.552740E+002;-1.554460E+002;-5.317383E+000
35875000;-1.532984E+000;-5.402922E-001;-1.552740E+002;-1.554498E+002;-4.833984E+000
35888000;1.749352E+000;9.401099E-002;-1.552740E+002;-1.554366E+002;-3.647461E+000
35902000;4.815304E+000;1.645007E+000;-1.552740E+002;-1.553886E+002;-1.757813E+000
35915000;7.372291E+000;2.442265E+000;-1.552740E+002;-1.553510E+002;0.000000E+000
35929000;9.248496E+000;3.827380E+000;-1.552740E+002;-1.552927E+002;2.021484E+000
35942000;9.979784E+000;6.131214E+000;-1.552740E+002;-1.552458E+002;3.471680E+000
35955000;9.656239E+000;7.880275E+000;-1.552740E+002;-1.552120E+002;4.702148E+000
35969000;8.169790E+000;9.375275E+000;-1.552740E+002;-1.551909E+002;5.317383E+000
35983000;5.683283E+000;1.030362E+001;-1.552740E+002;-1.551691E+002;5.493164E+000
35997000;2.501088E+000;1.042631E+001;-1.552740E+002;-1.551676E+002;4.921875E+000
36011000;-9.872626E-001;9.834677E+000;-1.552740E+002;-1.551802E+002;3.911133E+000
36024000;-4.127283E+000;8.898799E+000;-1.552740E+002;-1.551900E+002;2.548828E+000
36038000;-7.012343E+000;7.522880E+000;-1.552740E+002;-1.552305E+002;6.152344E-001
36051000;-8.928739E+000;6.190905E+000;-1.552740E+002;-1.552829E+002;-1.318359E+000
36065000;-9.933455E+000;4.311038E+000;-1.552740E+002;-1.553580E+002;-3.120117E+000
36078000;-9.722222E+000;9.971396E-001;-1.552740E+002;-1.554033E+002;-4.394531E+000
36092000;-8.457586E+000;-3.308612E-001;-1.552740E+002;-1.554320E+002;-5.185547E+000
36105000;-6.299007E+000;-1.045103E+000;-1.552740E+002;-1.554492E+002;-5.361328E+000
36118000;-3.474641E+000;-1.329114E+000;-1.552740E+002;-1.554577E+002;-5.097656E+000
36132000;-3.185302E-002;-9.659357E-001;-1.552740E+002;-1.554570E+002;-4.218750E+000
36146000;3.444755E+000;3.022166E-001;-1.552740E+002;-1.554214E+002;-2.548828E+000
36160000;6.467839E+000;1.478590E+000;-1.552740E+002;-1.553829E+002;-6.591797E-001
36174000;8.699200E+000;3.010908E+000;-1.552740E+002;-1.553259E+002;1.318359E+000
36187000;9.865696E+000;4.737231E+000;-1.552740E+002;-1.552785E+002;2.944336E+000
36201000;9.824540E+000;6.590411E+000;-1.552740E+002;-1.552264E+002;4.394531E+000
36216000;8.580768E+000;8.775100E+000;-1.552740E+002;-1.552073E+002;5.317383E+000
36229000;6.286629E+000;9.557966E+000;-1.552740E+002;-1.551799E+002;5.581055E+000
36242000;3.459702E+000;9.881637E+000;-1.552740E+002;-1.551764E+002;5.273438E+000
36255000;2.670948E-001;9.578416E+000;-1.552740E+002;-1.551883E+002;4.438477E+000
