Timestamp;GimbalPitchPos;Gyro;GimbalYawPos;Gyro
63617000;0.000000E+000;2.273655E+000;1.804342E+001;-4.693484E-002
63630000;0.000000E+000;2.323887E+000;1.432354E+001;-2.194286E-001
63642000;0.000000E+000;1.834247E+000;-6.413974E+000;2.552971E-002
63656000;0.000000E+000;1.611424E+000;-1.999333E+001;3.459758E-001
63669000;0.000000E+000;1.927120E+000;-5.611236E+000;3.387262E-001
63683000;0.000000E+000;2.218090E+000;1.715673E+001;-9.400639E-002
63696000;0.000000E+000;2.144207E+000;1.556709E+001;-2.419970E-001
63709000;0.000000E+000;1.723225E+000;-6.413974E+000;-6.427181E-002
63721000;0.000000E+000;1.438863E+000;-1.985724E+001;2.793829E-001
63735000;0.000000E+000;1.743084E+000;-7.383306E+000;3.205007E-001
63747000;0.000000E+000;1.997647E+000;1.363059E+001;-7.458389E-003
63761000;0.000000E+000;2.149881E+000;1.763447E+001;-2.550247E-001
63775000;0.000000E+000;1.769022E+000;-4.612807E+000;-7.585156E-002
63788000;0.000000E+000;1.385212E+000;-1.985724E+001;2.706743E-001
63800000;0.000000E+000;1.662193E+000;-1.071800E+001;3.394148E-001
63814000;0.000000E+000;1.899285E+000;1.363059E+001;-5.683005E-002
63827000;0.000000E+000;2.082157E+000;1.844015E+001;-2.644393E-001
63840000;0.000000E+000;1.757625E+000;9.687872E-001;-1.378867E-001
63852000;0.000000E+000;1.478507E+000;-1.760433E+001;2.201238E-001
63864000;0.000000E+000;1.663904E+000;-1.615704E+001;3.683347E-001
63877000;0.000000E+000;1.835307E+000;3.840611E+000;1.763972E-001
63891000;0.000000E+000;2.143743E+000;1.999377E+001;-2.374336E-001
63904000;0.000000E+000;1.795796E+000;6.664962E+000;-1.924998E-001
63917000;0.000000E+000;1.475731E+000;-1.586653E+001;1.336888E-001
63930000;0.000000E+000;1.425544E+000;-1.649024E+001;3.447914E-001
63942000;0.000000E+000;1.686906E+000;3.840611E+000;2.239622E-001
63955000;0.000000E+000;1.955138E+000;1.985240E+001;-1.883135E-001
63968000;0.000000E+000;1.771552E+000;6.664962E+000;-1.906216E-001
63980000;0.000000E+000;1.390920E+000;-1.461798E+001;1.081712E-001
63993000;0.000000E+000;1.273156E+000;-1.750502E+001;3.658105E-001
64007000;0.000000E+000;1.599349E+000;3.840611E+000;1.809508E-001
64020000;0.000000E+000;1.926601E+000;1.985240E+001;-1.495205E-001
64034000;0.000000E+000;1.753760E+000;6.664962E+000;-1.861265E-001
64047000;0.000000E+000;1.299652E+000;-1.696708E+001;2.045675E-001
64060000;0.000000E+000;1.287797E+000;-1.532165E+001;3.596364E-001
